기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 대구
기간 : 20200803~20220803

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-08-03,143,29.1,25.7,33
2020-08-04,143,29.3,24.9,34.4
2020-08-05,143,28.9,25.4,33
2020-08-06,143,28.5,25.8,31.2
2020-08-07,143,24.6,22.5,27.1
2020-08-08,143,23.7,22.9,25
2020-08-09,143,28.3,23.9,33.4
2020-08-10,143,26.1,24.2,30.6
2020-08-11,143,27.6,24.3,33.2
2020-08-12,143,28.7,24.7,33.7
2020-08-13,143,30.3,25.8,35.4
2020-08-14,143,31.2,25.6,35.6
2020-08-15,143,31.4,27.1,36.1
2020-08-16,143,30.4,25.9,35.9
2020-08-17,143,29.6,25.3,34.2
2020-08-18,143,30,24.8,35.9
2020-08-19,143,30.5,24.8,36
2020-08-20,143,29.6,24.4,36.3
2020-08-21,143,27.2,23.8,33.8
2020-08-22,143,26.9,23.8,31.2
2020-08-23,143,28.2,24,33.5
2020-08-24,143,28.5,23.6,33.9
2020-08-25,143,29.9,23.7,36.3
2020-08-26,143,29.4,27,33.5
2020-08-27,143,28.4,25.7,33.3
2020-08-28,143,28.8,26,32.9
2020-08-29,143,29.8,26.3,33.9
2020-08-30,143,28.6,25,34.9
2020-08-31,143,25.4,23.8,27.4
2020-09-01,143,25.6,22.9,29.4
2020-09-02,143,26.1,23.9,28.3
2020-09-03,143,27,23.8,30.8
2020-09-04,143,24.1,18.3,30.4
2020-09-05,143,19.9,17.3,23.1
2020-09-06,143,19.5,17.6,20.7
2020-09-07,143,23.4,18.8,25.6
2020-09-08,143,25.4,22.1,30.3
2020-09-09,143,23.9,21.1,28.1
2020-09-10,143,23.3,19.3,28.1
2020-09-11,143,21.7,18.8,26.5
2020-09-12,143,19.9,18.3,21.9
2020-09-13,143,20.9,18.1,26
2020-09-14,143,22.5,18,28.6
2020-09-15,143,22.9,18.3,28.9
2020-09-16,143,21.7,19.8,23.7
2020-09-17,143,21.5,18.3,25
2020-09-18,143,20.5,16,25.6
2020-09-19,143,20.5,12.7,27.4
2020-09-20,143,19.7,13.6,26.3
2020-09-21,143,18,12,24.4
2020-09-22,143,17.5,14.2,22.9
2020-09-23,143,18.7,14.3,22.9
2020-09-24,143,19.6,16.1,23.9
2020-09-25,143,19.7,14.8,25.6
2020-09-26,143,19.4,14.6,25
2020-09-27,143,18.8,14.8,24.3
2020-09-28,143,17.6,11.7,24.1
2020-09-29,143,18.3,11.8,26.1
2020-09-30,143,18.6,13.1,25
2020-10-01,143,18.4,12.8,24.9
2020-10-02,143,20.7,14.4,26.6
2020-10-03,143,21.5,17.6,27.3
2020-10-04,143,20.3,17,23.1
2020-10-05,143,15.8,11,20.1
2020-10-06,143,16.2,9.5,22.4
2020-10-07,143,17.1,12.3,22.1
2020-10-08,143,18.3,15.6,21.3
2020-10-09,143,18.6,16.5,21.5
2020-10-10,143,18.1,14.6,23.7
2020-10-11,143,16.5,12.1,21.5
2020-10-12,143,17.5,12.4,23.5
2020-10-13,143,16,11.2,21.8
2020-10-14,143,13.7,7.9,21.4
2020-10-15,143,14.5,7.6,21.1
2020-10-16,143,13.4,8.7,17
2020-10-17,143,14.5,8.3,21
2020-10-18,143,14.1,7.8,21.8
2020-10-19,143,14.2,7.1,22.4
2020-10-20,143,14.7,8.1,22.9
2020-10-21,143,13.7,9.2,18.3
2020-10-22,143,15,11.9,18.9
2020-10-23,143,11.7,8.3,16.7
2020-10-24,143,11.3,5.8,16.7
2020-10-25,143,14,6.4,20.8
2020-10-26,143,13.4,6.2,21.6
2020-10-27,143,13.4,6.1,21.6
2020-10-28,143,16.1,11.4,21.3
2020-10-29,143,12,5.3,19.2
2020-10-30,143,11.7,5.4,18.7
2020-10-31,143,11.4,5.4,18.1
2020-11-01,143,12.1,9.6,13.6
2020-11-02,143,13,6.9,18.2
2020-11-03,143,7.5,4.3,11.4
2020-11-04,143,6.7,2.2,12.7
2020-11-05,143,8.7,-0.8,16.9
2020-11-06,143,12.1,9.2,14.6
2020-11-07,143,14.4,7.3,22.3
2020-11-08,143,11.2,6.3,17.8
2020-11-09,143,8.2,4.1,12.8
2020-11-10,143,9.4,3.8,15.1
2020-11-11,143,8.2,1.1,16.5
2020-11-12,143,9.4,1.7,18.8
2020-11-13,143,10.9,3.1,19.7
2020-11-14,143,11.3,4.1,19
2020-11-15,143,10.9,4.9,18.9
2020-11-16,143,12.3,5,20.3
2020-11-17,143,14.7,9.1,20.4
2020-11-18,143,18.9,12.8,23.4
2020-11-19,143,19.4,12.8,25.3
2020-11-20,143,9.4,5.2,12.9
2020-11-21,143,7.1,1.4,11.9
2020-11-22,143,9.2,7.5,11.9
2020-11-23,143,5.9,2.7,10.5
2020-11-24,143,5.6,0.9,12.9
2020-11-25,143,7.2,0.9,12.6
2020-11-26,143,8.8,4.9,13.3
2020-11-27,143,8.2,3.8,11.9
2020-11-28,143,3.6,1.4,7.6
2020-11-29,143,3.8,-0.8,8.2
2020-11-30,143,3.8,0.8,8.2
2020-12-01,143,3,-3.1,9.8
2020-12-02,143,4.1,-1.9,10.3
2020-12-03,143,4.6,1.8,8.7
2020-12-04,143,2.7,-2.5,7.6
2020-12-05,143,3.3,-1.5,8.4
2020-12-06,143,4.1,-1.3,10.5
2020-12-07,143,4.5,-1.8,11.3
2020-12-08,143,2.5,-1.4,6.8
2020-12-09,143,1.9,-4.9,9.7
2020-12-10,143,5.9,1.4,12.2
2020-12-11,143,6.8,2,11.4
2020-12-12,143,5.8,0.8,9.4
2020-12-13,143,2.5,-1.9,10.5
2020-12-14,143,-3.2,-5.6,-0.5
2020-12-15,143,-4.4,-7.4,-0.4
2020-12-16,143,-3.6,-5.8,-0.2
2020-12-17,143,-1.9,-5.7,2.4
2020-12-18,143,0.5,-4.9,7.2
2020-12-19,143,-1.4,-4.3,2.5
2020-12-20,143,-0.2,-4.7,4.5
2020-12-21,143,0.5,-4.5,5.9
2020-12-22,143,1.8,-4.4,8.9
2020-12-23,143,2,-3.6,8.7
2020-12-24,143,4.5,-0.5,11.1
2020-12-25,143,1.4,-2.9,5.4
2020-12-26,143,1.7,-4.6,9.1
2020-12-27,143,2.4,-2.1,6.8
2020-12-28,143,3.8,0.4,12.6
2020-12-29,143,3.2,-1.6,11.9
2020-12-30,143,-5.6,-8.6,0.9
2020-12-31,143,-5.1,-10.3,-0.6
2021-01-01,143,-1.8,-5.7,2.6
2021-01-02,143,-0.9,-3.7,2.1
2021-01-03,143,-1.3,-4.1,2.1
2021-01-04,143,-0.3,-5.8,5.5
2021-01-05,143,-1.1,-5.1,2.6
2021-01-06,143,-4,-7.5,0.4
2021-01-07,143,-8.7,-12.4,-1.2
2021-01-08,143,-10.4,-13.6,-5.8
2021-01-09,143,-8,-11.4,-3.1
2021-01-10,143,-4.7,-10.8,1.2
2021-01-11,143,-4.2,-8.5,-0.8
2021-01-12,143,-1.5,-8.8,4.3
2021-01-13,143,3.6,-5.2,11.7
2021-01-14,143,4.4,-2.3,12.9
2021-01-15,143,8.3,0.6,16.1
2021-01-16,143,1.7,-3.3,8.3
2021-01-17,143,-2.8,-5.6,1.1
2021-01-18,143,-1.9,-6.6,4.4
2021-01-19,143,-2.6,-6.9,3.4
2021-01-20,143,-0.8,-8.5,8.6
2021-01-21,143,4.5,-3.8,11.5
2021-01-22,143,8.2,5.2,10.7
2021-01-23,143,9.3,7.4,11.8
2021-01-24,143,8,6.5,10.3
2021-01-25,143,7.4,3,12
2021-01-26,143,6.1,4.3,7.7
2021-01-27,143,5.8,2.9,10.4
2021-01-28,143,1.2,-4.7,11.1
2021-01-29,143,-4.4,-7.8,-0.2
2021-01-30,143,0.9,-7.4,9
2021-01-31,143,4.5,-4.3,12.1
2021-02-01,143,7.1,3.9,10.1
2021-02-02,143,-0.4,-3.2,7.1
2021-02-03,143,-1,-5.3,4.8
2021-02-04,143,1.4,-2.8,5.8
2021-02-05,143,1.5,-5.4,7.9
2021-02-06,143,5.2,-2.9,14.5
2021-02-07,143,6.6,-0.2,14
2021-02-08,143,0.4,-2.3,4.4
2021-02-09,143,1.6,-3.4,7.7
2021-02-10,143,3.9,-2.8,10.9
2021-02-11,143,5.8,-0.9,12
2021-02-12,143,7.7,1.1,16.6
2021-02-13,143,8.6,-0.9,19.1
2021-02-14,143,7.7,3.4,12.8
2021-02-15,143,5.9,-1.6,11.3
2021-02-16,143,-0.1,-3.6,6.1
2021-02-17,143,-4.8,-6.4,-2.4
2021-02-18,143,-4.4,-8.5,0.2
2021-02-19,143,4.3,-4,12.9
2021-02-20,143,11.3,3.7,20.4
2021-02-21,143,14.3,4,24.4
2021-02-22,143,13.7,6.8,22.8
2021-02-23,143,5.9,1.3,11.5
2021-02-24,143,5.5,1.1,12.7
2021-02-25,143,5,0.6,9.8
2021-02-26,143,8.3,5,12
2021-02-27,143,6.7,4.4,8.9
2021-02-28,143,7.4,1.7,13
2021-03-01,143,8.9,3.4,16.1
2021-03-02,143,2.6,0,6.2
2021-03-03,143,4.1,-1.5,9.5
2021-03-04,143,5.9,0.8,11.5
2021-03-05,143,10.6,4.3,19
2021-03-06,143,6.2,3.7,9.5
2021-03-07,143,5.5,3.5,8.8
2021-03-08,143,6.3,-0.6,14
2021-03-09,143,9,2.2,15.1
2021-03-10,143,8.8,2.6,14.1
2021-03-11,143,10,1.5,18.2
2021-03-12,143,9,7.6,11.6
2021-03-13,143,9.8,3.5,16
2021-03-14,143,10.5,4.6,17.2
2021-03-15,143,12.5,3.9,19.7
2021-03-16,143,14.9,10.6,20.1
2021-03-17,143,10.5,3.5,17.8
2021-03-18,143,10.4,5.2,16.6
2021-03-19,143,11.2,8.6,15.4
2021-03-20,143,9.9,8.3,10.9
2021-03-21,143,8.8,5.1,11.7
2021-03-22,143,7.9,3.3,13
2021-03-23,143,11.4,1.7,20.2
2021-03-24,143,11.5,4.3,18.2
2021-03-25,143,14.1,5.7,22.3
2021-03-26,143,15.3,6.7,23.9
2021-03-27,143,12.7,6.5,17.1
2021-03-28,143,15.8,11.7,20.2
2021-03-29,143,15.1,10.9,19.5
2021-03-30,143,14.6,10.5,21.3
2021-03-31,143,13.6,4.7,23.1
2021-04-01,143,13.5,9.2,17.7
2021-04-02,143,14.7,12.2,18.7
2021-04-03,143,14.5,11.8,18.5
2021-04-04,143,9.7,7,13.8
2021-04-05,143,9.9,2.7,16.2
2021-04-06,143,13.2,3.8,21.4
2021-04-07,143,17.1,10.6,23
2021-04-08,143,14.6,9.2,21.9
2021-04-09,143,9.2,5.5,15
2021-04-10,143,10.6,2.5,18.5
2021-04-11,143,13.6,4.3,21.9
2021-04-12,143,11.8,9.2,14.5
2021-04-13,143,15.1,8.1,20
2021-04-14,143,11.1,5.8,17.2
2021-04-15,143,11.9,4.4,18.7
2021-04-16,143,13.7,5.7,21.1
2021-04-17,143,13.5,9,19.3
2021-04-18,143,12.6,7.9,17.5
2021-04-19,143,16.6,8.2,24
2021-04-20,143,18.9,13.5,26.5
2021-04-21,143,19.9,10.1,29.5
2021-04-22,143,20.2,15,28.3
2021-04-23,143,15.8,13.6,18
2021-04-24,143,16.7,12.8,23.3
2021-04-25,143,14.4,10.7,18.8
2021-04-26,143,13.6,6.3,21.1
2021-04-27,143,15.8,8.1,22.2
2021-04-28,143,18.1,11.6,23.9
2021-04-29,143,18.3,13.5,24.7
2021-04-30,143,16.9,12.6,22.2
2021-05-01,143,12.1,9.4,15.6
2021-05-02,143,13.6,8.4,19.9
2021-05-03,143,16.5,7.6,24.7
2021-05-04,143,17,12.5,20.9
2021-05-05,143,18.5,13.6,23.5
2021-05-06,143,16.9,7.1,25.7
2021-05-07,143,18.1,11.5,25.6
2021-05-08,143,18.1,7.7,26.1
2021-05-09,143,19,12.6,25
2021-05-10,143,13.8,12.1,16.2
2021-05-11,143,15.1,12.3,18.2
2021-05-12,143,17.3,13.4,22.5
2021-05-13,143,20.4,11.1,30.3
2021-05-14,143,22,14.1,30.4
2021-05-15,143,19.9,17.4,22.6
2021-05-16,143,20.1,13.7,23.7
2021-05-17,143,14.4,13.4,16
2021-05-18,143,17.7,13.5,23.5
2021-05-19,143,22.5,15.8,29.4
2021-05-20,143,16.3,14.7,20
2021-05-21,143,17.6,14.7,21.5
2021-05-22,143,21,13.7,27.5
2021-05-23,143,23.6,14.8,30.8
2021-05-24,143,22.3,18,27.5
2021-05-25,143,18,13.1,23.7
2021-05-26,143,18,11.2,24.3
2021-05-27,143,18.9,15,25.5
2021-05-28,143,16.7,10.7,28.8
2021-05-29,143,20.4,14.9,26.3
2021-05-30,143,20.6,13.3,28.5
2021-05-31,143,20.7,15.5,28.9
2021-06-01,143,22.8,15.9,29.7
2021-06-02,143,23.8,18.2,30.2
2021-06-03,143,18.7,16.7,19.9
2021-06-04,143,21.3,17.1,27
2021-06-05,143,23.1,13.7,30.4
2021-06-06,143,23.9,18.2,30.4
2021-06-07,143,25.3,18.4,31.4
2021-06-08,143,25.4,20.5,33.2
2021-06-09,143,25.3,19.9,32.7
2021-06-10,143,24.2,19.1,30.5
2021-06-11,143,22.1,20.1,25.5
2021-06-12,143,24.1,20.6,28
2021-06-13,143,25.4,21.6,31.7
2021-06-14,143,23.9,21.1,28
2021-06-15,143,21.4,19.7,23.9
2021-06-16,143,20.4,17.9,23
2021-06-17,143,20,18.3,23.4
2021-06-18,143,22.3,17.9,26.7
2021-06-19,143,25.3,19.6,31.3
2021-06-20,143,25.9,18.1,33.9
2021-06-21,143,23.9,19.4,31.6
2021-06-22,143,20.7,17.7,26.5
2021-06-23,143,20.4,17.6,24.4
2021-06-24,143,23,18.9,28.5
2021-06-25,143,23.5,18.6,29.8
2021-06-26,143,22.8,20.1,27.2
2021-06-27,143,24,19.1,29.9
2021-06-28,143,23.9,21.3,28
2021-06-29,143,24.6,20.3,30
2021-06-30,143,24.4,21.7,29.6
2021-07-01,143,25.1,19.6,32.4
2021-07-02,143,24,20.3,28.8
2021-07-03,143,22.7,21.4,24.8
2021-07-04,143,27.8,21.8,32.4
2021-07-05,143,23.8,20.6,27.2
2021-07-06,143,22.6,20.6,25.8
2021-07-07,143,24.2,22.6,26.2
2021-07-08,143,24.9,22.5,29.6
2021-07-09,143,24.7,22.1,29.1
2021-07-10,143,25.6,21.6,32.6
2021-07-11,143,25.7,21.1,33.8
2021-07-12,143,27.3,22.2,34.1
2021-07-13,143,28.7,22.8,34.3
2021-07-14,143,29.9,24.7,35.3
2021-07-15,143,27.5,23.6,33.9
2021-07-16,143,27.1,23.3,31.9
2021-07-17,143,26.7,23.4,30.4
2021-07-18,143,26.7,22.9,31.9
2021-07-19,143,27.2,23.8,31.6
2021-07-20,143,28.8,24.8,33.9
2021-07-21,143,27.5,23.4,32.5
2021-07-22,143,28,24.3,32.3
2021-07-23,143,27.8,23.7,32.8
2021-07-24,143,28.1,24.3,33.2
2021-07-25,143,28,23.7,32.9
2021-07-26,143,28.5,23.4,33.9
2021-07-27,143,28.1,23.3,34.4
2021-07-28,143,28.2,23.1,34.2
2021-07-29,143,29.5,23.4,35.2
2021-07-30,143,30.6,25.3,35.9
2021-07-31,143,29.9,25.3,37.2
2021-08-01,143,28.1,25,35.1
2021-08-02,143,27.7,25,32.9
2021-08-03,143,29,24.7,33.5
2021-08-04,143,30.1,25,35.5
2021-08-05,143,30.8,25.1,36.9
2021-08-06,143,30.2,25,36.8
2021-08-07,143,29.1,23.1,37
2021-08-08,143,25.4,23.2,29
2021-08-09,143,27.4,23.1,33
2021-08-10,143,23.5,21,27.8
2021-08-11,143,25.6,21.9,32.5
2021-08-12,143,26.1,21.6,30.9
2021-08-13,143,25.7,23.4,30.2
2021-08-14,143,23.3,21.7,26.6
2021-08-15,143,23.5,20.9,28.2
2021-08-16,143,23.5,20.8,27.5
2021-08-17,143,23.6,21.7,26.9
2021-08-18,143,23.1,21.2,26.1
2021-08-19,143,24.3,21.6,28.3
2021-08-20,143,25,19.7,31.9
2021-08-21,143,23.1,21.9,25.8
2021-08-22,143,26.1,22.1,31.5
2021-08-23,143,23.1,21.2,24.9
2021-08-24,143,24.4,21.5,29.2
2021-08-25,143,25.3,22.9,27.7
2021-08-26,143,27.4,22.9,34.4
2021-08-27,143,23.7,21.5,28.7
2021-08-28,143,25.6,20.9,31.9
2021-08-29,143,23.6,21.3,26.6
2021-08-30,143,25.2,22,30.6
2021-08-31,143,24.4,21.5,29.1
2021-09-01,143,21.9,20,28.2
2021-09-02,143,21.8,20.1,24.7
2021-09-03,143,20.5,19.3,22.7
2021-09-04,143,22.4,18.8,26.8
2021-09-05,143,21.8,19.3,25.1
2021-09-06,143,21.8,19.4,25.6
2021-09-07,143,22.2,19.9,25.5
2021-09-08,143,23.7,20.1,28.8
2021-09-09,143,23.7,18.7,29.6
2021-09-10,143,22.6,20.2,26.3
2021-09-11,143,23.8,18.5,30.9
2021-09-12,143,24.3,18.2,30.8
2021-09-13,143,23.1,20.9,25.8
2021-09-14,143,22.5,20.8,24.5
2021-09-15,143,22.7,19.3,26.7
2021-09-16,143,22.2,16.9,25.8
2021-09-17,143,20.5,18.1,22.6
2021-09-18,143,21.5,16.9,26.6
2021-09-19,143,21.7,17.2,27.1
2021-09-20,143,21.7,16.6,26.3
2021-09-21,143,22.9,20,26.5
2021-09-22,143,24.1,18.2,29.6
2021-09-23,143,21.6,17.6,26.6
2021-09-24,143,19.7,15.1,25.8
2021-09-25,143,20.6,17.5,23.6
2021-09-26,143,20.5,17.9,24.9
2021-09-27,143,20.4,17.8,24.8
2021-09-28,143,21.8,19,26
2021-09-29,143,22.4,19.8,27.3
2021-09-30,143,21.9,18.1,27
2021-10-01,143,21.6,15.4,28.9
2021-10-02,143,22.3,17.4,29.1
2021-10-03,143,22.4,16,30.9
2021-10-04,143,24.3,16.6,31.5
2021-10-05,143,24,19.7,30.1
2021-10-06,143,22.1,19.7,26.5
2021-10-07,143,23.3,18.4,28.6
2021-10-08,143,22.2,20.9,25.3
2021-10-09,143,23.4,20.6,28.9
2021-10-10,143,25.1,20,31.8
2021-10-11,143,17.8,15.4,25.1
2021-10-12,143,15.9,14.7,17.3
2021-10-13,143,18.2,14.7,21.7
2021-10-14,143,19.6,14.6,26
2021-10-15,143,19.2,16.2,24
2021-10-16,143,14.3,8.1,17.4
2021-10-17,143,7.9,3.7,13.8
2021-10-18,143,9.2,2,17.6
2021-10-19,143,11.6,6.8,18.2
2021-10-20,143,10.7,5.1,17.4
2021-10-21,143,11.4,6,16.9
2021-10-22,143,11.8,6.2,18
2021-10-23,143,11.7,5.5,19.3
2021-10-24,143,11.8,5.2,19.9
2021-10-25,143,12.4,7,20.4
2021-10-26,143,12,5,20.2
2021-10-27,143,14.1,9.5,21.4
2021-10-28,143,13.9,5.7,20.6
2021-10-29,143,12.8,7.3,18.9
2021-10-30,143,11.8,7.6,17.8
2021-10-31,143,12.8,6.4,21.6
2021-11-01,143,14.3,7.7,20.1
2021-11-02,143,13,7.6,18.6
2021-11-03,143,12.2,6.2,19.3
2021-11-04,143,12.3,6.4,20.5
2021-11-05,143,12.5,5.4,19.5
2021-11-06,143,13,7.1,20.8
2021-11-07,143,14.2,8.8,20.1
2021-11-08,143,10.9,8.2,17.4
2021-11-09,143,9,6.5,12.5
2021-11-10,143,8.1,5.9,11.6
2021-11-11,143,8.7,6.7,12.8
